Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N_mean,P_mean,K_mean,ph_mean,temperature_mean,humidity_mean,soil_rainfall_mean,NPK_Index,Rainfall_Fert_Ratio,Log_Area,Log_Production,Season_encoded,Crop_encoded,State_encoded
Cotton(lint),2004,Kharif,Chhattisgarh,468.0,763.0,1122.8,50703.12,98.28,1.7775,117.77,46.24,19.56,6.91267549578,23.988957895200002,79.8434742538,80.3980431193,61.19,0.022144157121748685,6.150602768446279,6.638567789166521,1,11,4
Dry chillies,2004,Whole Year,Chhattisgarh,6511.0,3601.0,1122.8,705401.74,1367.31,0.53375,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0015917148266251418,8.781401907682376,8.189244525735901,4,13,4
Garlic,2004,Whole Year,Chhattisgarh,860.0,2309.0,1122.8,93172.4,180.6,2.91,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.012050649648934137,6.7580945044277305,7.745002803515839,4,14,4
Ginger,2004,Whole Year,Chhattisgarh,1330.0,1318.0,1122.8,144092.2,279.3,1.12375,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.007792178950845702,7.193685818395112,7.1846291527173145,4,15,4
Gram,2004,Rabi,Chhattisgarh,185695.0,119694.0,1122.8,24727596.07,48997.62,0.533125,40.09,67.79,79.92,7.33695662374,18.8728467519,16.8604394237,80.0589772605,62.6,4.540675734975489e-05,12.131866206990335,11.692702119579225,2,16,4
Groundnut,2004,Kharif,Chhattisgarh,34086.0,38108.0,1122.8,3692877.24,7158.06,1.20125,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0003040446846685094,10.436671358912786,10.54820575369157,1,17,4
Horse-gram,2004,Kharif,Chhattisgarh,55371.0,16431.0,1122.8,5998894.14,11627.91,0.291875,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00018716779903574045,10.921829329807625,9.70698593216834,1,19,4
Jowar,2004,Kharif,Chhattisgarh,8388.0,4902.0,1122.8,908755.92,1761.48,0.666875,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.0012355339203359243,9.034676602846295,8.497602541651233,1,20,4
Khesari,2004,Rabi,Chhattisgarh,185695.0,175275.0,1122.8,24727596.07,49569.2,0.433333333,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,4.540675734975489e-05,12.131866206990335,12.074117153379104,2,22,4
Linseed,2004,Rabi,Chhattisgarh,71171.0,16298.0,1122.8,7710666.14,14945.91,0.242,40.09,48.44,19.87,6.425470922140001,23.988957895200002,65.1184255887,84.766987663,36.13333333333333,0.00014561645310499035,11.172854761626727,9.698859035219632,2,23,4
Maize,2004,Kharif,Chhattisgarh,97851.0,139927.0,1122.8,10601177.34,20548.71,1.343125,77.76,48.44,19.79,6.2451897224,22.3892039102,65.0922494467,84.766987663,48.663333333333334,0.00010591275460044756,11.491211412063475,11.848883283586899,1,24,4
Masoor,2004,Rabi,Chhattisgarh,18880.0,4878.0,1122.8,2045459.2,3964.8,0.281333333,18.77,68.36,19.41,6.927931571609999,24.509052402600002,64.8047846785,45.680454204,35.51333333333333,0.0005489229269775085,9.845911404398532,8.492695559815838,2,25,4
